"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"1","X=~x1",0.776361796259677,0.084675702704151,0.8,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"2","X=~x2",0.693605856909797,0.109154587769258,0.8,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"3","X=~x3",0.838465982982871,0.0909211974159279,0.8,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"4","Z=~z1",0.893306809039175,0.0649975240956229,0.8,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"5","Z=~z2",0.763175079052191,0.0830858255443974,0.8,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"6","Z=~z3",0.898647652296462,0.0708331611278671,0.8,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"7","Y=~y1",0.769716182841223,0.0734263673908918,0.8,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"8","Y=~y2",0.792441857824577,0.0847995999398701,0.8,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"9","Y=~y3",0.802749562065139,0.0751545331200145,0.8,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"10","Y~X",0.498316077360102,0.0941739732802247,0.4,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"11","Y~Z",0.52109228229371,0.0952414088737515,0.5,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"12","Y~X:Z",0.446525105936326,0.151595431415503,0.3,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"13","X~~Z",0.0417402708389409,0.10490512119285,0.2,"MC-OrdPLSc",841,2592299,200,"Symmetric","2",TRUE,12.8600000000006
"14","X=~x1",0.646133944147538,0.113886719878111,0.8,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"15","X=~x2",0.532541301284723,0.122569427269629,0.8,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"16","X=~x3",0.7307676081302,0.111700362525277,0.8,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"17","Z=~z1",0.770311489762251,0.0946116571193266,0.8,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"18","Z=~z2",0.580894840361096,0.119955195649221,0.8,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"19","Z=~z3",0.806552674094043,0.0874423589925797,0.8,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"20","Y=~y1",0.663849834813277,0.0734256434895138,0.8,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"21","Y=~y2",0.62377967630334,0.0746754279766034,0.8,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"22","Y=~y3",0.605759911874658,0.0829125954306844,0.8,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"23","Y~X",0.497291977516554,0.101590339296826,0.4,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"24","Y~Z",0.507120800176473,0.102237371652478,0.5,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"25","Y~X:Z",0.353619082951409,0.128961507742383,0.3,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"26","X~~Z",0.0352905184729654,0.0939961578439358,0.2,"PLSc",841,2592299,200,"Symmetric","2",TRUE,3.41000000000349
"27","X=~x1",0.782518064827324,0.0560641406507183,0.8,"PLS",841,2592299,200,"Symmetric","2",TRUE,2.25999999999476
"28","X=~x2",0.727710764155912,0.0673991057282434,0.8,"PLS",841,2592299,200,"Symmetric","2",TRUE,2.25999999999476
"29","X=~x3",0.817024584877538,0.0479676344423774,0.8,"PLS",841,2592299,200,"Symmetric","2",TRUE,2.25999999999476
"30","Z=~z1",0.849795451881347,0.0330875880567913,0.8,"PLS",841,2592299,200,"Symmetric","2",TRUE,2.25999999999476
"31","Z=~z2",0.76610265162461,0.0563038831443255,0.8,"PLS",841,2592299,200,"Symmetric","2",TRUE,2.25999999999476
