"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"1","X=~x1",0.821231132325992,0.163766588735818,0.8,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"2","X=~x2",0.87743214707897,0.125407071810285,0.8,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"3","X=~x3",0.688021502842004,0.169893852292133,0.8,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"4","Z=~z1",0.879876455890534,0.109595559257629,0.8,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"5","Z=~z2",0.68704050785644,0.132184412663471,0.8,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"6","Z=~z3",0.733401149314784,0.10140352571232,0.8,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"7","Y=~y1",0.819870926680103,0.0739470992004357,0.8,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"8","Y=~y2",0.858179460524558,0.0697745560489561,0.8,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"9","Y=~y3",0.834399641511516,0.0779923806894092,0.8,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"10","Y~X",0.349917085193503,0.0943281357064324,0.4,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"11","Y~Z",0.487532087487733,0.0919494110129333,0.5,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"12","Y~X:Z",0.315814278564844,0.14967471799632,0.3,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"13","X~~Z",0.0901337828825509,0.116126370868494,0.2,"MC-OrdPLSc",1201,9009238,200,"Symmetric","2",TRUE,15.03
"14","X=~x1",NA,NA,0.8,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"15","X=~x2",NA,NA,0.8,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"16","X=~x3",NA,NA,0.8,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"17","Z=~z1",NA,NA,0.8,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"18","Z=~z2",NA,NA,0.8,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"19","Z=~z3",NA,NA,0.8,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"20","Y=~y1",NA,NA,0.8,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"21","Y=~y2",NA,NA,0.8,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"22","Y=~y3",NA,NA,0.8,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"23","Y~X",NA,NA,0.4,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"24","Y~Z",NA,NA,0.5,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"25","Y~X:Z",NA,NA,0.3,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"26","X~~Z",NA,NA,0.2,"PLSc",1201,9009238,200,"Symmetric","2",FALSE,3.49999999999999
"27","X=~x1",0.809137547902227,0.0842511101831991,0.8,"PLS",1201,9009238,200,"Symmetric","2",TRUE,2.33000000000001
"28","X=~x2",0.835623169930724,0.056649786785654,0.8,"PLS",1201,9009238,200,"Symmetric","2",TRUE,2.33000000000001
