"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"1","X=~x1",0.809996128410832,0.103339136314336,0.8,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"2","X=~x2",0.793724762770388,0.111637771739938,0.8,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"3","X=~x3",0.760521812319154,0.137373023802811,0.8,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"4","Z=~z1",0.719676224814807,0.200832018143316,0.8,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"5","Z=~z2",0.796302485234525,0.149135347413767,0.8,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"6","Z=~z3",0.934851435107003,0.141023430811445,0.8,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"7","Y=~y1",0.881922152533878,0.0798311980590343,0.8,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"8","Y=~y2",0.758980093173981,0.102683852268755,0.8,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"9","Y=~y3",0.843359685791777,0.0871561721797467,0.8,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"10","Y~X",0.370369896315079,0.0890623292440736,0.4,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"11","Y~Z",0.244370052319765,0.095101651498569,0.5,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"12","Y~X:Z",0.362460271587311,0.138709936764641,0.3,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"13","X~~Z",0.144520509014298,0.103066190751224,0.2,"MC-OrdPLSc",121,4488588,200,"Symmetric","2",TRUE,8.47
"14","X=~x1",0.653214097903678,0.142506240358588,0.8,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"15","X=~x2",0.720564954140716,0.144780292686745,0.8,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"16","X=~x3",0.576134144314651,0.171432126856184,0.8,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"17","Z=~z1",0.584004861219211,0.254985886848684,0.8,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"18","Z=~z2",0.603476299808222,0.224009079131467,0.8,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"19","Z=~z3",0.860320634149686,0.215747428358241,0.8,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"20","Y=~y1",0.74957762160191,0.106810541798036,0.8,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"21","Y=~y2",0.548135398435163,0.131121192721254,0.8,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"22","Y=~y3",0.751492440880676,0.11863684507721,0.8,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"23","Y~X",0.344536715179635,0.0956720985627487,0.4,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"24","Y~Z",0.222878894722963,0.0990072667422629,0.5,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"25","Y~X:Z",0.301297337730835,0.129049403321854,0.3,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"26","X~~Z",0.130408663993682,0.093610374197718,0.2,"PLSc",121,4488588,200,"Symmetric","2",TRUE,4.28
"27","X=~x1",0.798706519312533,0.0586035851176155,0.8,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"28","X=~x2",0.787477080564536,0.0650691296208513,0.8,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"29","X=~x3",0.769692970719679,0.073992538798723,0.8,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"30","Z=~z1",0.741008285412986,0.154957138413889,0.8,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"31","Z=~z2",0.795235327912142,0.0999876862034289,0.8,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"32","Z=~z3",0.862433495332532,0.0861115368649062,0.8,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"33","Y=~y1",0.835479918095883,0.0422866293493311,0.8,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"34","Y=~y2",0.761952302412714,0.0626913088502534,0.8,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"35","Y=~y3",0.813022442675922,0.0509390494473149,0.8,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"36","Y~X",0.245353817739619,0.0616171931864719,0.4,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"37","Y~Z",0.173552663527027,0.0671834699637946,0.5,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"38","Y~X:Z",0.175887260845309,0.0675317823575499,0.3,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"39","X~~Z",0.0949813461969131,0.0694124738621879,0.2,"PLS",121,4488588,200,"Symmetric","2",TRUE,1.83000000000001
"40","X=~x1",0.812,0.075,0.8,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"41","X=~x2",0.703,0.084,0.8,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"42","X=~x3",0.815,0.077,0.8,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"43","Z=~z1",0.725,0.076,0.8,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"44","Z=~z2",0.847,0.071,0.8,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"45","Z=~z3",0.848,0.071,0.8,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"46","Y=~y1",0.868,0.065,0.8,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"47","Y=~y2",0.798,0.071,0.8,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"48","Y=~y3",0.77,0.074,0.8,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"49","Y~X",0.345,0.101,0.4,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"50","Y~Z",0.242,0.102,0.5,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"51","Y~X:Z",0.307,0.141,0.3,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"52","X~~Z",0.125,0.107,0.2,"Mplus",121,4488588,200,"Symmetric","2",TRUE,34.38
"53","X=~x1",0.576009255685298,0.58614979064583,0.5,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
"54","X=~x2",0.209876628522426,0.165268715293739,0.5,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
"55","X=~x3",0.416676104447899,0.298796565057779,0.5,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
"56","Z=~z1",0.429574093103791,0.263549388240725,0.5,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
"57","Z=~z2",0.579786671966459,0.227420676055402,0.5,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
"58","Z=~z3",0.667183864212403,0.2821755734007,0.5,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
"59","Y=~y1",0.474892022154372,0.261915465129635,0.5,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
"60","Y=~y2",0.501937786124603,0.286678450517423,0.5,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
"61","Y=~y3",0.704611759170333,0.338738002109507,0.5,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
"62","Y~X",0.512639931671275,0.36743547952703,0.4,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
"63","Y~Z",0.344567232703346,0.357381097813218,0.5,"MC-OrdPLSc",122,7058724,200,"Symmetric","2",TRUE,12.44
