"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"1","X=~x1",0.837726340355561,0.0832465755298017,0.8,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"2","X=~x2",0.702754195815817,0.0838211664987023,0.8,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"3","X=~x3",0.78423181174782,0.0821811665083845,0.8,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"4","Z=~z1",0.763163835481768,0.0813208906754664,0.8,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"5","Z=~z2",0.755245713264055,0.0826363079378951,0.8,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"6","Z=~z3",0.884070305944758,0.0704267032305754,0.8,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"7","Y=~y1",0.84282094047665,0.0538964779560606,0.8,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"8","Y=~y2",0.915364472889926,0.0532508878141261,0.8,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"9","Y=~y3",0.815444281151777,0.064351556715478,0.8,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"10","Y~X",0.471704453629995,0.0947389731748568,0.4,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"11","Y~Z",0.443579252475741,0.0913265741891815,0.5,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"12","Y~X:Z",0.333826787063886,0.136936589862441,0.3,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"13","X~~Z",0.290870559966915,0.101692899038831,0.2,"MC-OrdPLSc",121,3087592,200,"Symmetric","2",TRUE,13.93
"14","X=~x1",0.751821027967758,0.0903330005285614,0.8,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"15","X=~x2",0.528416997138032,0.101759893840252,0.8,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"16","X=~x3",0.636661565885086,0.0955819257410912,0.8,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"17","Z=~z1",0.64011587039477,0.0997930441627635,0.8,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"18","Z=~z2",0.605811570540498,0.102189814855538,0.8,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"19","Z=~z3",0.750170133712901,0.0894853893990978,0.8,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"20","Y=~y1",0.710752861671151,0.0730537924030971,0.8,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"21","Y=~y2",0.824455687261478,0.072376041902882,0.8,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"22","Y=~y3",0.585528025525689,0.0822406566664697,0.8,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"23","Y~X",0.437601358871915,0.104775016698001,0.4,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"24","Y~Z",0.440489028115985,0.100669357014088,0.5,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"25","Y~X:Z",0.251888935218209,0.119948987824441,0.3,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"26","X~~Z",0.266704470546449,0.0959466700511013,0.2,"PLSc",121,3087592,200,"Symmetric","2",TRUE,3.33
"27","X=~x1",0.816394987409492,0.0413649702014173,0.8,"PLS",121,3087592,200,"Symmetric","2",TRUE,2.33
"28","X=~x2",0.730094733897797,0.0608936697115612,0.8,"PLS",121,3087592,200,"Symmetric","2",TRUE,2.33
