"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.750534793067621,0.0925499201165245,0.8,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"2","X=~x2",0.820719197177417,0.0707819632854463,0.8,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"3","X=~x3",0.85553890850939,0.0800161692829981,0.8,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"4","Z=~z1",0.792335473065292,0.0697943542475138,0.8,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"5","Z=~z2",0.876963019413007,0.0615903971361473,0.8,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"6","Z=~z3",0.794386428313769,0.0699310315699178,0.8,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"7","Y=~y1",0.865901948685226,0.0575299495162104,0.8,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"8","Y=~y2",0.830780505526547,0.0624926647978455,0.8,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"9","Y=~y3",0.852134130955915,0.0550718711864745,0.8,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"10","Y~X",0.314256151871605,0.0922351968521298,0.4,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"11","Y~Z",0.641388633489393,0.0706987192713351,0.5,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"12","Y~X:Z",0.430567457665066,0.106003788303519,0.3,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"13","X~~Z",0.220087646993914,0.096584231595996,0.2,"MC-OrdPLSc",6121,1672139,200,"Symmetric","2",2,TRUE,14.3300000000017
"14","X=~x1",0.603003830044905,0.13267805896484,0.8,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"15","X=~x2",0.705654644913697,0.112178065350109,0.8,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"16","X=~x3",0.712637055691617,0.128783998354776,0.8,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"17","Z=~z1",0.611417714331342,0.0862778006840513,0.8,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"18","Z=~z2",0.761552610442961,0.073815178737329,0.8,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"19","Z=~z3",0.685276734429262,0.078395685795043,0.8,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"20","Y=~y1",0.666317956376765,0.0675122227365564,0.8,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"21","Y=~y2",0.676326531777774,0.0687350053044244,0.8,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"22","Y=~y3",0.707113773649116,0.0727227906180785,0.8,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"23","Y~X",0.299586622751908,0.0918476713484852,0.4,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"24","Y~Z",0.636661846699196,0.0783048326504376,0.5,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"25","Y~X:Z",0.303423218113156,0.0969152652261597,0.3,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"26","X~~Z",0.202281908349415,0.0903995141514191,0.2,"PLSc",6121,1672139,200,"Symmetric","2",2,TRUE,3.08000000000175
"27","X=~x1",0.760303382955964,0.0639629851568105,0.8,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"28","X=~x2",0.806405543658309,0.0466255504061964,0.8,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"29","X=~x3",0.823694782570327,0.0464717526297755,0.8,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"30","Z=~z1",0.787485460459991,0.048570198588216,0.8,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"31","Z=~z2",0.836391327809749,0.0310577767513442,0.8,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"32","Z=~z3",0.789061834674772,0.0435945000668493,0.8,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"33","Y=~y1",0.809424213853459,0.0332790574565019,0.8,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"34","Y=~y2",0.789997466258942,0.0374022784110646,0.8,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"35","Y=~y3",0.809305289952552,0.0354183888841867,0.8,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"36","Y~X",0.249978625902667,0.0600878378144874,0.4,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"37","Y~Z",0.468244168440211,0.0515031506098995,0.5,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"38","Y~X:Z",0.177976368052043,0.0545923103761196,0.3,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"39","X~~Z",0.147193728404977,0.0672805135181052,0.2,"PLS",6121,1672139,200,"Symmetric","2",2,TRUE,2.08000000000175
"40","X=~x1",0.748,0.074,0.8,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"41","X=~x2",0.796,0.074,0.8,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"42","X=~x3",0.833,0.071,0.8,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"43","Z=~z1",0.769,0.067,0.8,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"44","Z=~z2",0.853,0.059,0.8,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"45","Z=~z3",0.786,0.067,0.8,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"46","Y=~y1",0.86,0.059,0.8,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"47","Y=~y2",0.812,0.065,0.8,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"48","Y=~y3",0.844,0.06,0.8,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"49","Y~X",0.297,0.086,0.4,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"50","Y~Z",0.656,0.069,0.5,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"51","Y~X:Z",0.431,0.103,0.3,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"52","X~~Z",0.23,0.102,0.2,"Mplus",6121,1672139,200,"Symmetric","2",2,TRUE,53.5900000000038
"53","X=~x1",0.498085752136734,0.365923930859603,0.5,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"54","X=~x2",0.45584241428201,0.917847547080714,0.5,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"55","X=~x3",0.635165389250656,1.95828883276465,0.5,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"56","Z=~z1",-0.0136283728712061,0.407435102719285,0.5,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"57","Z=~z2",0.40657938871268,0.417707468923705,0.5,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"58","Z=~z3",0.58834883597139,1.05895265460846,0.5,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"59","Y=~y1",0.177543432840898,0.32681617649094,0.5,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"60","Y=~y2",0.998921737717082,1.72680315460501,0.5,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"61","Y=~y3",0.339682085104226,0.499105543430342,0.5,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"62","Y~X",0.0530651763069462,1.83391273314105,0.4,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"63","Y~Z",0.708114534770187,3.30530082568728,0.5,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"64","Y~X:Z",0.177681999629537,2.92769354706679,0.3,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"65","X~~Z",0.468946665006277,0.985979706665881,0.2,"MC-OrdPLSc",6122,3939692,200,"Symmetric","2",3,TRUE,24.2699999999968
"66","X=~x1",0.400823320893354,0.205479317341108,0.5,"PLSc",6122,3939692,200,"Symmetric","2",3,FALSE,5.41999999999825
"67","X=~x2",0.354743334616093,0.225115885955113,0.5,"PLSc",6122,3939692,200,"Symmetric","2",3,FALSE,5.41999999999825
"68","X=~x3",0.517646192663895,0.260212205530987,0.5,"PLSc",6122,3939692,200,"Symmetric","2",3,FALSE,5.41999999999825
"69","Z=~z1",-0.0959635712447204,0.220541254749735,0.5,"PLSc",6122,3939692,200,"Symmetric","2",3,FALSE,5.41999999999825
"70","Z=~z2",0.245353075440023,0.160633517418108,0.5,"PLSc",6122,3939692,200,"Symmetric","2",3,FALSE,5.41999999999825
