"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.558341076699997,0.0905073927038149,0.4,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"2","X=~x2",0.847892915360407,0.0724949857133609,0.8,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"3","X=~x3",0.725754843777095,0.101298689351491,0.8,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"4","Z=~z1",0.742884966337892,0.0656983331135133,0.6,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"5","Z=~z2",0.540695310143719,0.103310463557804,0.6,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"6","Z=~z3",0.800254777477383,0.09737526271887,0.8,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"7","Y=~y1",0.40568923391686,0.0916368368125189,0.4,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"8","Y=~y2",0.609564382848054,0.0851169843219515,0.7,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"9","Y=~y3",0.906904606514306,0.0556578027601202,0.9,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"10","Y~X",0.345204121472598,0.136626509137032,0.4,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"11","Y~Z",0.623218307378428,0.0923331428639221,0.5,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"12","Y~X:Z",0.276654230894727,0.116105707559275,0.3,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"13","X~~Z",0.34383473786276,0.128945112499743,0.2,"MC-OrdPLSc-II",13241,6543036,300,"Symmetric","2",1,TRUE,7.36699999999928
"14","X=~x1",0.281383943131719,0.0730671629506151,0.4,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"15","X=~x2",0.773941215009655,0.0587621864080486,0.8,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"16","X=~x3",0.832050723983127,0.0519968584819322,0.8,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"17","Z=~z1",0.619782834599424,0.0599742195073238,0.6,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"18","Z=~z2",0.618551362924543,0.0538405071839227,0.6,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"19","Z=~z3",0.696758179972963,0.0533322595631525,0.8,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"20","Y=~y1",0.43549790565051,0.0432433307017955,0.4,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"21","Y=~y2",0.710647108760784,0.0548196228541725,0.7,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"22","Y=~y3",0.892209695938848,0.0472512768633197,0.9,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"23","Y~X",0.463007131534335,0.0585871338030409,0.4,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"24","Y~Z",0.47521008177636,0.0607660798337053,0.5,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"25","Y~X:Z",0.266069087631431,0.0862716995996588,0.3,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
"26","X~~Z",0.134872338016699,0.0664146812535736,0.2,"MC-OrdPLSc-II",13242,5695830,1000,"Symmetric","2",1,TRUE,8.16300000000047
