"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.34529746866531,0.229673497710547,0.4,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"2","X=~x2",0.838143122912657,0.368481420482268,0.8,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"3","X=~x3",0.63512200961055,0.190120689631063,0.8,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"4","Z=~z1",0.819132145770242,0.0980695990568725,0.6,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"5","Z=~z2",0.600243129687743,0.107070412572188,0.6,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"6","Z=~z3",0.818267523640774,0.111743760866349,0.8,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"7","Y=~y1",0.235323639569002,0.132978114717857,0.4,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"8","Y=~y2",0.727230328093824,0.113244309746052,0.7,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"9","Y=~y3",0.829803790119038,0.159904819877369,0.9,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"10","Y~X",0.389821009167185,0.221381214193761,0.4,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"11","Y~Z",0.49999758329609,0.170098829437262,0.5,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"12","Y~X:Z",0.501403934414127,0.413297949651465,0.3,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"13","X~~Z",0.141235621211852,0.1259241486249,0.2,"MC-OrdPLSc",7617,8974162,300,"Extreme","2",1,TRUE,15.357
"14","X=~x1",0.519209235265651,0.310671856049339,0.4,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"15","X=~x2",0.998888647336918,0.452190028714422,0.8,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"16","X=~x3",0.480051863347725,0.335703893843142,0.8,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"17","Z=~z1",0.588641144198122,0.128267846554483,0.6,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"18","Z=~z2",0.582809587185458,0.16837475788957,0.6,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"19","Z=~z3",0.837502877763083,0.213334124771335,0.8,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"20","Y=~y1",0.368000702968667,0.245135705516298,0.4,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"21","Y=~y2",0.71823887062377,0.384765866961763,0.7,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"22","Y=~y3",0.590862454107649,0.397309317475188,0.9,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"23","Y~X",0.287500887904298,0.795744207673275,0.4,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"24","Y~Z",0.784656345426141,0.51305652536504,0.5,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"25","Y~X:Z",0.236684686676568,0.616724658832475,0.3,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
"26","X~~Z",0.352370163808126,0.190984654241863,0.2,"MC-OrdPLSc",7633,6578927,300,"Alt.Ext","2",1,TRUE,12.179
