"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.550842377789579,0.102420198089251,0.4,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"2","X=~x2",0.682781194097707,0.0860366700411133,0.8,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"3","X=~x3",0.74461784901179,0.129601963602746,0.8,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"4","Z=~z1",0.600400767743288,0.0941250608120266,0.6,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"5","Z=~z2",0.569366487963474,0.121290266060183,0.6,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"6","Z=~z3",0.683065327222128,0.0915368959433787,0.8,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"7","Y=~y1",0.437014233029255,0.0847146537057105,0.4,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"8","Y=~y2",0.755665272805991,0.076164600693553,0.7,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"9","Y=~y3",0.780827798715197,0.0669911265008524,0.9,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"10","Y~X",0.4748146100638,0.0979179793396701,0.4,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"11","Y~Z",0.668812870257802,0.0994327958145024,0.5,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"12","Y~X:Z",0.218117297687756,0.187642640624794,0.3,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"13","X~~Z",0.0949126799176664,0.110498044864177,0.2,"MC-OrdPLSc",4561,3951821,300,"Symmetric","2",1,TRUE,8.501
"14","X=~x1",0.470648247916948,0.110747748393976,0.4,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"15","X=~x2",0.545977228520239,0.105271714300614,0.8,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"16","X=~x3",0.587895352396488,0.100750643615116,0.8,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"17","Z=~z1",0.513333415931966,0.0901407723282618,0.6,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"18","Z=~z2",0.428841027189634,0.0915374587352886,0.6,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"19","Z=~z3",0.549709219086518,0.0847357963523622,0.8,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"20","Y=~y1",0.35107264176937,0.0774590331685183,0.4,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"21","Y=~y2",0.602624929141185,0.0648852137892798,0.7,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"22","Y=~y3",0.643467554783937,0.0679674640278682,0.9,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"23","Y~X",0.455017133353241,0.108115165603119,0.4,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"24","Y~Z",0.672749568031082,0.133770601410712,0.5,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"25","Y~X:Z",0.149240624994529,0.15774725338325,0.3,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"26","X~~Z",0.0920127905591976,0.112024873498846,0.2,"PLSc",4561,3951821,300,"Symmetric","2",1,TRUE,2.17
"27","X=~x1",0.635509423399457,0.0936890083734364,0.4,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"28","X=~x2",0.744433284011485,0.0672571103289115,0.8,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"29","X=~x3",0.780960690477362,0.0557495622908101,0.8,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"30","Z=~z1",0.693748493392177,0.0727728561411954,0.6,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"31","Z=~z2",0.665858663025932,0.0777376018872309,0.6,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"32","Z=~z3",0.755257068984039,0.056308139184333,0.8,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"33","Y=~y1",0.520333256816821,0.0813216948609128,0.4,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"34","Y=~y2",0.790341669953765,0.0380221775421501,0.7,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"35","Y=~y3",0.809993160962459,0.0371556903959779,0.9,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"36","Y~X",0.284194433556746,0.0465401329656144,0.4,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"37","Y~Z",0.367769648518932,0.0488895856740971,0.5,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"38","Y~X:Z",0.0643787972319318,0.0459564286866822,0.3,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"39","X~~Z",0.0484830631838596,0.0595664322651218,0.2,"PLS",4561,3951821,300,"Symmetric","2",1,TRUE,1.158
"40","X=~x1",0.483,0.085,0.4,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
"41","X=~x2",0.654,0.083,0.8,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
"42","X=~x3",0.746,0.089,0.8,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
"43","Z=~z1",0.525,0.084,0.6,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
"44","Z=~z2",0.564,0.085,0.6,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
"45","Z=~z3",0.651,0.087,0.8,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
"46","Y=~y1",0.407,0.083,0.4,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
"47","Y=~y2",0.764,0.073,0.7,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
"48","Y=~y3",0.769,0.069,0.9,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
"49","Y~X",0.487,0.094,0.4,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
"50","Y~Z",0.691,0.089,0.5,"Mplus",4561,3951821,300,"Symmetric","2",1,TRUE,66.317
