"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.356948687263435,0.13708044989454,0.4,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"2","X=~x2",0.86230932547285,0.0992978369577322,0.8,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"3","X=~x3",0.875936184021471,0.0893884549915312,0.8,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"4","Z=~z1",0.627893410225463,0.096849331073305,0.6,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"5","Z=~z2",0.672616146378238,0.0902478778705667,0.6,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"6","Z=~z3",0.8242459208551,0.0948827275638468,0.8,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"7","Y=~y1",0.423165093271505,0.0999975195304058,0.4,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"8","Y=~y2",0.734768021581736,0.0832478015921183,0.7,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"9","Y=~y3",0.847983021632334,0.0783868315520316,0.9,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"10","Y~X",0.295737730757103,0.0946987684461374,0.4,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"11","Y~Z",0.480672251358869,0.0941884029208867,0.5,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"12","Y~X:Z",0.220463258576718,0.13580112815092,0.3,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"13","X~~Z",0.323865918618261,0.0898127265515483,0.2,"MC-OrdPLSc",10001,4685833,300,"Symmetric","2",1,TRUE,7.939
"14","X=~x1",0.193686039517549,0.148887337252129,0.4,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"15","X=~x2",0.729771934240159,0.103492526113928,0.8,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"16","X=~x3",0.775479501360363,0.101428497405222,0.8,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"17","Z=~z1",0.526715377700953,0.0960462217005079,0.6,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"18","Z=~z2",0.540934017166198,0.100340275015583,0.6,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"19","Z=~z3",0.66613958046872,0.0866190175125412,0.8,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"20","Y=~y1",0.323911945327163,0.102598550430379,0.4,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"21","Y=~y2",0.62956119303862,0.0773120373741445,0.7,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"22","Y=~y3",0.669441124246429,0.0706377367394018,0.9,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"23","Y~X",0.258736359306736,0.110122096184004,0.4,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"24","Y~Z",0.476001129342612,0.102165632401798,0.5,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"25","Y~X:Z",0.164198185655404,0.138925120994043,0.3,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"26","X~~Z",0.29830717373799,0.0901989218116267,0.2,"PLSc",10001,4685833,300,"Symmetric","2",1,TRUE,2.393
"27","X=~x1",0.423511931801641,0.120262320437702,0.4,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"28","X=~x2",0.859036703471103,0.0381304676403628,0.8,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"29","X=~x3",0.861932216708669,0.0413924875817703,0.8,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"30","Z=~z1",0.688125409258587,0.0654083919987481,0.6,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"31","Z=~z2",0.725636671486434,0.0631833032098538,0.6,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"32","Z=~z3",0.8135924622158,0.0381491169030266,0.8,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"33","Y=~y1",0.507021113939893,0.0983381472988746,0.4,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"34","Y=~y2",0.783344130025568,0.0471465812203065,0.7,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"35","Y=~y3",0.836412132732161,0.0312193248628622,0.9,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"36","Y~X",0.217670979292024,0.0576186858698249,0.4,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"37","Y~Z",0.297466927541971,0.0535054409004455,0.5,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"38","Y~X:Z",0.0870469008338604,0.0543838784636011,0.3,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"39","X~~Z",0.198322673114258,0.0600749480408102,0.2,"PLS",10001,4685833,300,"Symmetric","2",1,TRUE,1.344
"40","X=~x1",0.432,0.076,0.4,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"41","X=~x2",0.905,0.081,0.8,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"42","X=~x3",0.766,0.081,0.8,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"43","Z=~z1",0.559,0.078,0.6,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"44","Z=~z2",0.655,0.079,0.6,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"45","Z=~z3",0.838,0.079,0.8,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"46","Y=~y1",0.429,0.081,0.4,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"47","Y=~y2",0.668,0.081,0.7,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"48","Y=~y3",0.853,0.082,0.9,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"49","Y~X",0.271,0.097,0.4,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"50","Y~Z",0.48,0.094,0.5,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"51","Y~X:Z",0.208,0.129,0.3,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"52","X~~Z",0.326,0.089,0.2,"Mplus",10001,4685833,300,"Symmetric","2",1,TRUE,56.596
"53","X=~x1",0.408674438584809,0.059560299134192,0.4,"MC-OrdPLSc",10002,8278076,1000,"Symmetric","2",1,TRUE,8.84400000000001
"54","X=~x2",0.888776626350486,0.0555944417257615,0.8,"MC-OrdPLSc",10002,8278076,1000,"Symmetric","2",1,TRUE,8.84400000000001
"55","X=~x3",0.767142297800429,0.0501088001898476,0.8,"MC-OrdPLSc",10002,8278076,1000,"Symmetric","2",1,TRUE,8.84400000000001
"56","Z=~z1",0.547883768755738,0.0539864239351278,0.6,"MC-OrdPLSc",10002,8278076,1000,"Symmetric","2",1,TRUE,8.84400000000001
"57","Z=~z2",0.668688118480404,0.0493957737184477,0.6,"MC-OrdPLSc",10002,8278076,1000,"Symmetric","2",1,TRUE,8.84400000000001
