"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.397132686244674,0.190567650540308,0.4,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"2","X=~x2",0.882577465756539,0.117983523891465,0.8,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"3","X=~x3",0.793475123006527,0.181705174866296,0.8,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"4","Z=~z1",0.657372265563584,0.221987664098205,0.6,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"5","Z=~z2",0.586554752980701,0.193989297964622,0.6,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"6","Z=~z3",0.819453586289631,0.2793943052281,0.8,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"7","Y=~y1",0.436568107501667,0.262426463470356,0.4,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"8","Y=~y2",0.816775272087308,0.166187252013219,0.7,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"9","Y=~y3",0.882632715216524,0.0831252823821403,0.9,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"10","Y~X",0.395302980579484,0.231136587420173,0.4,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"11","Y~Z",0.576739596576346,0.276702457236825,0.5,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"12","Y~X:Z",0.407412302954364,0.620337350278803,0.3,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"13","X~~Z",0.163194145430892,0.157465208071311,0.2,"MC-OrdPLSc-Median",8441,4572402,300,"Symmetric","2",1,TRUE,124.695
"14","X=~x1",0.368579004271248,0.0716688996199056,0.4,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"15","X=~x2",0.831266593894943,0.0504590831336371,0.8,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"16","X=~x3",0.774207396884983,0.0447649399449106,0.8,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"17","Z=~z1",0.662403372357844,0.0509942182816757,0.6,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"18","Z=~z2",0.587241890058677,0.0657140101193079,0.6,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"19","Z=~z3",0.734096624747531,0.0594202289540074,0.8,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"20","Y=~y1",0.385857456923606,0.0424398100372156,0.4,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"21","Y=~y2",0.743764664097945,0.0394313569642921,0.7,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"22","Y=~y3",0.886345363057004,0.0582440995850816,0.9,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"23","Y~X",0.454171995475179,0.0471644333078427,0.4,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"24","Y~Z",0.479639481590091,0.0932401663709432,0.5,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"25","Y~X:Z",0.373697965109013,0.0639602288436857,0.3,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"26","X~~Z",0.308559448769949,0.0540452487982959,0.2,"MC-OrdPLSc-Median",8442,5131543,1000,"Symmetric","2",1,TRUE,43.9629999999961
"27","X=~x1",0.300171241065238,0.0775158972571495,0.4,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"28","X=~x2",0.767810822108458,0.0767137801340101,0.8,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"29","X=~x3",0.834290818850847,0.0883705526725799,0.8,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"30","Z=~z1",0.666288242759574,0.0630686180834182,0.6,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"31","Z=~z2",0.440907730007866,0.0879083968725318,0.6,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"32","Z=~z3",0.825163743599094,0.203532536436769,0.8,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"33","Y=~y1",0.305250960911082,0.112706457888813,0.4,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"34","Y=~y2",0.638819876119274,0.0667583601369012,0.7,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"35","Y=~y3",0.877600644067175,0.0912810377171787,0.9,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"36","Y~X",0.570798645209775,0.0907727875985497,0.4,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"37","Y~Z",0.454716639311914,0.0701534088616082,0.5,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
"38","Y~X:Z",0.219653553642362,0.171365548842472,0.3,"MC-OrdPLSc-Median",8443,5743914,300,"Symmetric","3",1,TRUE,135.205999999998
