"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.561619228016133,0.101668280205582,0.4,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"2","X=~x2",0.67281104307212,0.0892005436913447,0.8,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"3","X=~x3",0.718032919118941,0.0850482604217217,0.8,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"4","Z=~z1",0.535090836016787,0.0847967190508719,0.6,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"5","Z=~z2",0.642327079233519,0.0712608500483969,0.6,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"6","Z=~z3",0.897709300516353,0.0677846373659929,0.8,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"7","Y=~y1",0.539416750097724,0.0934561657877068,0.4,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"8","Y=~y2",0.80367304181494,0.0595814911197262,0.7,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"9","Y=~y3",0.905044064422823,0.0529942577259718,0.9,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"10","Y~X",0.420771500546477,0.0877266236109736,0.4,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"11","Y~Z",0.533493464287582,0.0846770323688446,0.5,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"12","Y~X:Z",0.463643693566628,0.0951470546944937,0.3,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"13","X~~Z",0.415649856475366,0.103728164224426,0.2,"MC-OrdPLSc",5881,7970572,300,"Symmetric","2",1,TRUE,12
"14","X=~x1",0.480211472390795,0.0852643394189487,0.4,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"15","X=~x2",0.496345911358621,0.08816389788364,0.8,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"16","X=~x3",0.600716354806937,0.0903091525788714,0.8,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"17","Z=~z1",0.397550174660741,0.0787181562575942,0.6,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"18","Z=~z2",0.528290274066537,0.0679814973564866,0.6,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"19","Z=~z3",0.768841947927283,0.0730519371013383,0.8,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"20","Y=~y1",0.414440203420751,0.073412752117614,0.4,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"21","Y=~y2",0.593342439246427,0.0600636698048381,0.7,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"22","Y=~y3",0.723631697556473,0.0514461110174097,0.9,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"23","Y~X",0.417621328798485,0.126976868850346,0.4,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"24","Y~Z",0.58289932530218,0.125098807365586,0.5,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"25","Y~X:Z",0.330020128639158,0.128751412601198,0.3,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"26","X~~Z",0.397378667227872,0.0957477763630995,0.2,"PLSc",5881,7970572,300,"Symmetric","2",1,TRUE,3.16000000000349
"27","X=~x1",0.647056003909756,0.071727985306599,0.4,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"28","X=~x2",0.736098916950078,0.0568594098267079,0.8,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"29","X=~x3",0.769406762816747,0.0552129787581213,0.8,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"30","Z=~z1",0.612832700421851,0.0696087138880743,0.6,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"31","Z=~z2",0.71054146624524,0.0491145348787347,0.6,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"32","Z=~z3",0.857122002973996,0.0279108246432151,0.8,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"33","Y=~y1",0.568564797569211,0.074039580265134,0.4,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"34","Y=~y2",0.780948795058564,0.0372912929166978,0.7,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"35","Y=~y3",0.844808895279959,0.023379994612575,0.9,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"36","Y~X",0.293467254017154,0.0473425347112593,0.4,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"37","Y~Z",0.400532971141911,0.0475467126424942,0.5,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"38","Y~X:Z",0.153782062866668,0.0451793423216086,0.3,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"39","X~~Z",0.235331156719926,0.056725216610015,0.2,"PLS",5881,7970572,300,"Symmetric","2",1,TRUE,1.71100000000297
"40","X=~x1",0.519,0.083,0.4,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"41","X=~x2",0.684,0.082,0.8,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"42","X=~x3",0.686,0.082,0.8,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"43","Z=~z1",0.523,0.075,0.6,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"44","Z=~z2",0.605,0.073,0.6,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"45","Z=~z3",0.869,0.064,0.8,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"46","Y=~y1",0.5,0.082,0.4,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"47","Y=~y2",0.782,0.066,0.7,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"48","Y=~y3",0.868,0.055,0.9,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"49","Y~X",0.377,0.096,0.4,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"50","Y~Z",0.564,0.087,0.5,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"51","Y~X:Z",0.375,0.101,0.3,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"52","X~~Z",0.456,0.091,0.2,"Mplus",5881,7970572,300,"Symmetric","2",1,TRUE,77.2610000000059
"53","X=~x1",0.404736861503349,0.050787245724861,0.4,"MC-OrdPLSc",5882,4640434,1000,"Symmetric","2",1,TRUE,13.5930000000008
"54","X=~x2",0.69955070178311,0.0468298059755757,0.8,"MC-OrdPLSc",5882,4640434,1000,"Symmetric","2",1,TRUE,13.5930000000008
"55","X=~x3",0.865489487454196,0.0593246612995816,0.8,"MC-OrdPLSc",5882,4640434,1000,"Symmetric","2",1,TRUE,13.5930000000008
"56","Z=~z1",0.559962221690487,0.0524864074235201,0.6,"MC-OrdPLSc",5882,4640434,1000,"Symmetric","2",1,TRUE,13.5930000000008
